Condition,Kept epochs,Positive peak (uV),Peak latency (ms),Early neg. defl. (uV),Early pos. overshoot (uV),0-250 ms diff. RMS (uV),0-250 ms absolute difference area
2nd-order HP,132,5.030518340258096,415.0,-0.7090069205189874,0.4863921659405878,0.4569134981524692,0.09605641259436955
8th-order HP,132,3.246980761573974,580.0000000000001,-0.31782833095508517,0.936405058633463,0.7954270773178259,0.16888879021795603
