Taps,PB ripple (dB),SB atten. (dB),Trans. width (Hz),Delay (samples),Delay (ms),MACs per sample
31,3.423435953150586,9.180431160114338,60.708007812500014,15.0,15.0,31
61,1.9955473592020792,13.808791355838144,34.8291015625,30.0,30.0,61
121,0.3654911688066024,27.947115331716308,22.438964843750007,60.0,60.0,121
