Filter,Min. order,PB ripple (dB),SB atten. (dB),Trans. width (Hz),Mean GD (ms),GD std (ms)
Butterworth,13,0.987177784509028,40.72190073362114,19.661865234375007,37.23020800653539,7.494777691823159
Chebyshev-I,7,0.9999995479561441,47.208448458873605,15.206298828125,32.68216289006641,14.329850707575849
Chebyshev-II,7,0.9900252942062193,40.00000006600246,15.206298828125,15.420087023121068,5.975181018441216
Elliptic,5,0.9999999991717158,40.000000030055304,8.64501953125,20.274331906362708,14.643465139643189
