滤波器,taps/阶数,固定延迟/样本(FIR),群时延指标/ms,通带波纹/dB,低端阻带衰减/dB,高端阻带衰减/dB
FIR Equiripple,3801,1900,1900.0,0.986352519628428,43.260333964383435,47.675701749181634
IIR Butterworth,4,--,25.769 ± 52.814,3.0001730921581875,25.586828083275744,8.804170188966461
