方式,10 Hz幅值,50 Hz幅值,50 Hz抑制/dB,相对10 Hz延迟/ms
Single causal,0.991012312348736,0.026294582310320096,-31.602674471350763,22.0
Repeated causal,0.9783709674773259,0.0006203430856475914,-64.14736108122521,43.0
Zero phase,0.9955185154209406,0.001670742904298174,-55.54180749327517,0.0
