taps,通带波纹/dB,阻带衰减/dB,过渡带宽/Hz,固定群时延/样本,固定群时延/ms,实现代价/乘加每样本
31,3.423435953150586,9.180431160114338,60.708007812500014,15.0,15.0,31
61,1.9955473592020792,13.808791355838144,34.8291015625,30.0,30.0,61
121,0.3654911688066024,27.947115331716308,22.438964843750007,60.0,60.0,121
