波形,保留试次,峰值/uV,峰值潜伏期/ms
FIR uncompensated,132,1.3401920949967567,252.0
FIR compensated,132,9.832609946011319,479.00000000000006
IIR causal,132,6.307332248210093,398.99999999999994
