窗函数,通带波纹/dB,阻带衰减/dB,过渡带宽/Hz,固定群时延/样本,固定群时延/ms
bartlett,1.8183924984704505,12.879889669780095,102.181396484375,30.0,30.0
hann,2.237726602427914,13.06910974121089,35.25634765625,30.0,30.0
hamming,1.9955473592020792,13.808791355838144,34.8291015625,30.0,30.0
blackman,2.637532749775481,11.63565561260894,43.67919921875,30.0,30.0
