条件,保留试次,Pe峰值/uV,Pe潜伏期/ms,早期最小值/uV,300-700 ms面积
50 Hz LP only,132,12.06946665934259,480.00000000000006,-1.2421993945994037,2.4136411650407394
0.1-15 Hz,132,11.889063224376297,470.00000000000006,-0.7923879000412468,2.419785296289924
0.5-15 Hz,132,12.148776230771832,475.00000000000006,-0.9717116061610832,2.5717080299653814
1.0-15 Hz,132,7.045310855355025,475.00000000000006,-3.8431308391985213,0.7654831389267238
